feature_id,geometry_type,geometry_longitude,geometry_latitude,ag_geom,x,y,long,lat,org_nam,str_use,str_nam,str_adr,stt_cde,alt_val,int_len,int_grd,sht_grd,lnd_siz,pad_siz,hor_rad,com_dat,use_dat,use_typ
LT_P_AISHCSTRIP.1,Point,128.706544444,34.860477778,POINT(128.706544444 34.860477778),128.706544443999974,34.860477777999961,"128° 42' 23.560"" E","34° 51' 37.720"" N",부항청,사용,한화오션㈜ 육상헬기장,경남 거제시 거제대로 3370(아주동 1번지),육상,32.15,1000,8:1,2:1,22×20,22×20,200,1981-07-27,1982-09-20,주간시계비행
LT_P_AISHCSTRIP.10,Point,126.41607666,34.809692383,POINT(126.41607666 34.809692383),126.416076659999931,34.809692382999970,"126° 24' 57.876"" E","34° 48' 34.893"" N",부항청,사용,목포한국병원 옥상헬기장,전남 목포시 상동 149-2번지,옥상,106.45,1000,8:1,2:1 1:1,18.24×15,18.24×15,200,2011-10-25,2011-12-09,주.야간시계비행
LT_P_AISHCSTRIP.11,Point,128.700927734,36.546508789,POINT(128.700927734 36.546508789),128.700927733999947,36.546508788999972,"128° 42' 3.340"" E","36° 32' 47.432"" N",부항청,사용,안동병원 옥상헬기장,안동시 수상동 574-2,옥상,146.5,1000,8:1,2:1,19×17,19×17,200,2012-03-28,2012-04-25,주.야간시계비행
LT_P_AISHCSTRIP.12,Point,128.414366667,36.1082861109999,POINT(128.414366667 36.1082861109999),128.414366666999967,36.108286110999927,"128° 24' 51.720"" E","36° 6' 29.830"" N",부항청,사용,삼성전자 SMART City 육상헬기장,경북 구미시 3공단 3로 302 (임수동),육상,35.8,1000,8:1,2:1 1:1,24×24,24×24,200,2013-03-04,2013-04-09,주간시계비행
LT_P_AISHCSTRIP.13,Point,129.428133894,35.5204384859999,POINT(129.428133894 35.5204384859999),129.428133893999984,35.520438485999932,"129° 25' 41.282"" E","35° 31' 13.579"" N",부항청,사용,울산대학교병원 옥상헬기장,울산광역시 동구 방어진순환도로 877,옥상,45.91,1000,8:1,2:1 1:1,27.2×27.2,27.2×27.2,200,2014-01-28,2015-01-19,주.야간시계비행
LT_P_AISHCSTRIP.14,Point,126.922583333,35.1406083329999,POINT(126.922583333 35.1406083329999),126.922583332999920,35.140608332999932,"126° 55' 21.300"" E","35° 8' 26.190"" N",부항청,사용,전남대학교병원 옥상헬기장,광주광역시 동구 제봉로 42,옥상,149.69,1000,8:1,2:1,27.2×27.2,27.2×27.2,200,2014-06-10,2015-08-31,주.야간시계비행
LT_P_AISHCSTRIP.15,Point,129.017563628,35.1009531419999,POINT(129.017563628 35.1009531419999),129.017563627999948,35.100953141999923,"129° 1' 3.229"" E","35° 6' 3.431"" N",부항청,사용,부산대학교병원 옥상헬기장,부산광역시 서구 구덕로179,옥상,87.5,1000,8:1,10:1 1:1,27.2×27.2,27.2×27.2,200,2014-11-20,2015-11-06,주.야간시계비행
LT_P_AISHCSTRIP.16,Point,128.603884922,35.866366738,POINT(128.603884922 35.866366738),128.603884921999907,35.866366737999954,"128° 36' 13.986"" E","35° 51' 58.920"" N",부항청,사용,경북대학교병원 옥상헬기장,대구광역시 중구 동덕로 130,옥상,91.63,1000,8:1,2:1,27.2×27.2,27.2×27.2,200,2015-12-14,2015-12-15,주.야간시계비행
LT_P_AISHCSTRIP.17,Point,129.372613889,36.6239555559999,POINT(129.372613889 36.6239555559999),129.372613888999922,36.623955555999942,"129° 22' 21.410"" E","36° 37' 26.240"" N",부항청,사용,삼성전자 영덕연수원 옥상헬기장,경북 영덕군 병곡면 영리 산 153,옥상,274,1000,8:1,2:1,29.9×29.9,29.9×29.9,200,2017-07-19,2017-07-31,주간시계비행
LT_P_AISHCSTRIP.18,Point,128.06,35.0761111109999,POINT(128.06 35.0761111109999),128.059999999999945,35.076111110999932,"128° 3' 36.000"" E","35° 4' 34.000"" N",부항청,사용,한국항공우주산업㈜ 육상헬기장,경남 사천시 사남면 유천리 803번지,육상,6.2,1000,8:2,2:2,42×42,42×42,200,2017-02-13,2017-02-14,주.야간시계비행
