요양기관명,종별코드,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,주소,전화번호,수술실병상수,응급실병상수,x좌표,y좌표,헬기장 여부,eff
경북대학교병원,1,230000,대구,230006,대구중구,삼덕동2가,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,24,34,128.604703,35.8662525,1,58
단국대학교의과대학부속병원,1,340000,충남,340202,천안동남구,안서동,"충청남도 천안시 동남구 망향로 201,  (안서동)",041-1588-0063,15,34,127.172575,36.8415904,1,49
부산대학교병원,1,210000,부산,210006,부산서구,아미동1가,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,26,37,129.0188032,35.1008477,1,63
아주대학교병원,1,310000,경기,310604,수원영통구,원천동,"경기도 수원시 영통구 월드컵로 164, (원천동)",031-219-5114,32,52,127.0476837,37.2794612,1,84
연세대학교 원주세브란스기독병원,1,320000,강원,320400,원주시,일산동,"강원특별자치도 원주시 일산로 20-0,  (일산동)",033-741-0114,17,43,127.9456639,37.3490013,1,60
원광대학교병원,1,350000,전북,350300,익산시,신동,"전북특별자치도 익산시 무왕로 895, (신동)",063-859-1114,17,38,126.9595793,35.9646389,1,55
의료법인 길의료재단 길병원,1,220000,인천,220006,인천남동구,구월동,"인천광역시 남동구 남동대로774번길 21-0, 의료법인길의료재단길병원",,30,47,126.7092258,37.452171,1,77
인하대학교의과대학부속병원,1,220000,인천,220004,인천중구,신흥동3가,"인천광역시 중구 인항로 27-0, 인하대학병원",032-890-2114,16,34,126.6340954,37.4586786,1,50
전남대학교병원,1,240000,광주,240001,광주동구,학동,"광주광역시 동구 제봉로 42,  (학동)",062-1899-0000,22,37,126.9215805,35.1418094,1,59
충북대학교병원,1,330000,충북,330104,청주서원구,개신동,"충청북도 청주시 서원구 1순환로 776-0, 충북대학교병원",043-269-6114,18,49,127.4614843,36.6242237,1,67
학교법인 울산공업학원 울산대학교병원,1,260000,울산,260002,울산동구,,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,20,37,129.4289116,35.5200702,1,57
학교법인성균관대학삼성창원병원,1,380000,경남,380701,창원마산회원구,합성동,"경상남도 창원시 마산회원구 팔용로 158-158, (합성동, 삼성창원병원)",055-233-8899,16,40,128.5923771,35.2424957,1,56
가톨릭대학교의정부성모병원,11,310000,경기,310800,의정부시,금오동,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",1661-7500,15,59,127.0777625,37.7587045,1,74
국군수도병원,11,310000,경기,310403,성남분당구,율동,"경기도 성남시 분당구 새마을로177번길 81, (율동)",031-725-6075,10,28,127.1490674,37.3923789,1,38
목포한국병원,11,360000,전남,360300,목포시,상동,"전라남도 목포시 영산로 483,  (상동)",061-270-5800,9,24,126.4162693,34.809382,1,33
세종충남대학교병원,11,410000,세종시,410000,세종시,,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",1800-3114,11,28,127.2579427,36.5195133,1,39
순천향대학교부속 천안병원,11,340000,충남,340202,천안동남구,봉명동,"충청남도 천안시 동남구 순천향6길 31,  5동 (봉명동,순천향대학교병원)",041-570-2114,22,47,127.1358588,36.8027381,1,69
의료법인안동병원,11,370000,경북,370400,안동시,수상동,"경상북도 안동시 앙실로 11,  (수상동)",054-840-1004,13,23,128.7010976,36.5467408,1,36
이화여자대학교의과대학부속서울병원,11,110000,서울,110003,강서구,마곡동,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",1522-7000,23,31,126.8362668,37.5572629,1,54
재단법인베스티안재단베스티안병원,11,330000,충북,330102,청주흥덕구,오송읍,"충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0, (오송읍)",043-910-7575,2,30,127.3216409,36.6364294,1,32
제주대학교병원,11,390000,제주,390200,제주시,아라일동,"제주특별자치도 제주시 아란13길 15-0,  0동 0층 0호 (아라일동,제주대학교병원)",064-717-1114,12,28,126.5452109,33.4671105,1,40
제주한라병원,11,390000,제주,390200,제주시,연동,"제주특별자치도 제주시 도령로 65,  (연동)",064-740-5000,8,31,126.4850403,33.4899609,1,39
창원경상국립대학교병원,11,380000,경남,380705,창원성산구,성주동,"경상남도 창원시 성산구 삼정자로 11, (성주동, 창원경상대학교병원)",055-214-2000,13,21,128.7078463,35.1990872,1,34
학교법인 을지학원 대전을지대학교병원,11,250000,대전,250003,대전서구,둔산동,"대전광역시 서구 둔산서로 95, (둔산동)",042-611-3000,17,33,127.3819888,36.3553098,1,50
학교법인 을지학원 의정부을지대학교병원,11,310000,경기,310800,의정부시,금오동,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",031-951-1000,14,48,127.0506997,37.7518185,1,62
