상위 본부명,기관명,주소,y좌표,x좌표,전화번호,유형,등록일,수량
대구소방안전본부,수성소방서-수성-119 안전센터,대구광역시 수성구 들안로60길 30,35.856757,128.62085,053-741-2119,119안전센터,2018-03-17,1
대구소방안전본부,수성소방서-황금-119 안전센터,대구광역시 수성구 동대구로12길 41,35.8354932,128.6264246,053-764-0119,119안전센터,2018-03-17,1
대구소방안전본부,수성소방서-만촌-119 안전센터,대구광역시 수성구 달구벌대로 2658,35.8553405,128.6521084,053-752-0119,119안전센터,2018-03-17,1
대구소방안전본부,수성소방서-범물-119 안전센터,대구광역시 수성구 청호로 87,35.8255278,128.6443835,053-780-5261,119안전센터,2018-03-17,2
대구소방안전본부,북부소방서_대구-산격-119 안전센터,대구광역시 북구 유통단지로8길 88,35.9060774,128.614247,053-350-5790,119안전센터,2018-03-17,2
대구소방안전본부,북부소방서_대구-무태-119 안전센터,대구광역시 북구 호국로43길 21,35.9209169,128.5969011,053-350-5780,119안전센터,2018-03-17,1
대구소방안전본부,북부소방서_대구-대현-119 안전센터,대구광역시 북구 대현로 105,35.8824217,128.6106205,053-350-5770,119안전센터,2018-03-17,1
대구소방안전본부,북부소방서_대구-노원-119 안전센터,대구광역시 북구 노원로 42,35.8921502,128.5673912,053-350-5750,119안전센터,2018-03-17,1
대구소방안전본부,북부소방서_대구-침산-119 안전센터,대구광역시 북구 침산남로 149,35.8883496,128.5922483,053-350-5740,119안전센터,2018-03-17,1
대구소방안전본부,북부소방서_대구-칠성-119 안전센터,대구광역시 북구 칠성남로 112,35.8779748,128.5922971,053-350-5720,119안전센터,2018-03-17,2
대구소방안전본부,서부소방서_대구-내당-119 안전센터,대구광역시 서구 서대구로3길 16,35.8594298,128.5552638,053-557-0119,119안전센터,2018-03-17,1
대구소방안전본부,서부소방서_대구-태전-119 안전센터,대구광역시 북구 칠곡중앙대로 184,35.9123206,128.548797,053-312-0119,119안전센터,2018-03-17,1
대구소방안전본부,서부소방서_대구-비산-119 안전센터,대구광역시 서구 달서로 206,35.8804392,128.5720345,053-566-0119,119안전센터,2018-03-17,1
대구소방안전본부,서부소방서_대구-이현-119 안전센터,대구광역시 서구 국채보상로 119,35.8690829,128.5441489,053-552-0119,119안전센터,2018-03-17,1
대구소방안전본부,서부소방서_대구-읍내-119 안전센터,대구광역시 북구 칠곡중앙대로 570,35.9464889,128.5515261,053-321-0119,119안전센터,2018-03-17,1
대구소방안전본부,서부소방서_대구-평리-119 안전센터,대구광역시 서구 달서천로 186,35.8818837,128.5544996,053-320-4492,119안전센터,2018-03-17,2
대구소방안전본부,동부소방서_대구-율하-119 안전센터,대구광역시 동구 율하동로8길 5,35.8620298,128.7019657,053-605-5370,119안전센터,2018-03-17,1
대구소방안전본부,동부소방서_대구-공산-119 안전센터,대구광역시 동구 팔공산로 1579,35.962767,128.6977513,053-605-5360,119안전센터,2018-03-17,1
대구소방안전본부,동부소방서_대구-불로-119 안전센터,대구광역시 동구 팔공로50길 19,35.9219951,128.6439421,053-605-5350,119안전센터,2018-03-17,1
대구소방안전본부,동부소방서_대구-안심-119 안전센터,대구광역시 동구 반야월로 291,35.8721648,128.7204102,053-605-5340,119안전센터,2018-03-17,1
대구소방안전본부,동부소방서_대구-동촌-119 안전센터,대구광역시 동구 해동로 180,35.8866965,128.6484933,053-605-5330,119안전센터,2018-03-17,1
대구소방안전본부,동부소방서_대구-신천-119 안전센터,대구광역시 동구 동대구로 507,35.8760907,128.6251739,053-605-5320,119안전센터,2018-03-17,2
광주소방안전본부,광산소방서_광주-평동-119 안전센터,광주광역시 광산구 월전동 1251,35.1242989,126.773418,,119안전센터,2018-03-17,1
광주소방안전본부,광산소방서_광주-첨단-119 안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),35.2187847,126.8491735,062-606-4883,119안전센터,2018-03-17,1
광주소방안전본부,광산소방서_광주-신가-119 안전센터,광주광역시 광산구 수등로 236(신가동),35.1849057,126.8347787,062-606-4863,119안전센터,2018-03-17,1
광주소방안전본부,광산소방서_광주-비아-119 안전센터,광주광역시 광산구 비아로12번길 10(비아동),35.2207346,126.823575,062-606-4843,119안전센터,2018-03-17,1
광주소방안전본부,광산소방서_광주-월곡-119 안전센터,광주광역시 광산구 사암로 276(월곡동),35.168918,126.809313,062-606-4823,119안전센터,2018-03-17,1
광주소방안전본부,광산소방서_광주-송정-119 안전센터,광주광역시 광산구 상무대로 93-1(도산동),35.129099,126.785525,062-606-4803,119안전센터,2018-03-17,1
광주소방안전본부,광산소방서_광주-하남-119 안전센터,광주광역시 광산구 하남산단1번로 13(하남동),35.1859848,126.7964868,062-606-4903,119안전센터,2018-03-17,2
